method,time,coverage_ratio,inspected_targets
set_cover_cw_tour,0.0,0.0,0
set_cover_cw_tour,90.0,0.06666666666666667,12
set_cover_cw_tour,180.0,0.09444444444444444,17
set_cover_cw_tour,270.0,0.14444444444444443,26
set_cover_cw_tour,360.0,0.21666666666666667,39
set_cover_cw_tour,450.0,0.2388888888888889,43
set_cover_cw_tour,540.0,0.3388888888888889,61
set_cover_cw_tour,630.0,0.38333333333333336,69
set_cover_cw_tour,720.0,0.4388888888888889,79
set_cover_cw_tour,810.0,0.4722222222222222,85
set_cover_cw_tour,900.0,0.5388888888888889,97
set_cover_cw_tour,990.0,0.65,117
set_cover_cw_tour,1080.0,0.6944444444444444,125
set_cover_cw_tour,1170.0,0.7611111111111111,137
set_cover_cw_tour,1260.0,0.8555555555555555,154
set_cover_cw_tour,1350.0,0.8833333333333333,159
set_cover_cw_tour,1440.0,0.9,162
set_cover_cw_tour,1530.0,0.9055555555555556,163
set_cover_cw_tour,1620.0,0.9111111111111111,164
set_cover_cw_tour,1710.0,0.9277777777777778,167
set_cover_cw_tour,1800.0,0.9555555555555556,172
set_cover_cw_tour,1890.0,0.9833333333333333,177
safe_graph_adp_critic_only,0.0,0.0,0
safe_graph_adp_critic_only,90.0,0.12777777777777777,23
safe_graph_adp_critic_only,180.0,0.2611111111111111,47
safe_graph_adp_critic_only,270.0,0.3888888888888889,70
safe_graph_adp_critic_only,360.0,0.5,90
safe_graph_adp_critic_only,450.0,0.5722222222222222,103
safe_graph_adp_critic_only,540.0,0.6222222222222222,112
safe_graph_adp_critic_only,630.0,0.7055555555555556,127
safe_graph_adp_critic_only,720.0,0.7722222222222223,139
safe_graph_adp_critic_only,810.0,0.8,144
safe_graph_adp_critic_only,900.0,0.8277777777777777,149
safe_graph_adp_critic_only,990.0,0.8444444444444444,152
safe_graph_adp_critic_only,1080.0,0.8833333333333333,159
safe_graph_adp_critic_only,1170.0,0.8944444444444445,161
safe_graph_adp_critic_only,1260.0,0.9055555555555556,163
safe_graph_adp_critic_only,1350.0,0.9111111111111111,164
safe_graph_adp_critic_only,1440.0,0.9166666666666666,165
safe_graph_adp_critic_only,1530.0,0.9222222222222223,166
safe_graph_adp_critic_only,1620.0,0.9333333333333333,168
safe_graph_adp_critic_only,1710.0,0.9388888888888889,169
safe_graph_adp_critic_only,1800.0,0.9444444444444444,170
safe_graph_adp_critic_only,1890.0,0.9555555555555556,172
safe_graph_adp_critic_only,1980.0,0.9611111111111111,173
safe_graph_adp_critic_only,2070.0,0.9666666666666667,174
safe_graph_adp_critic_only,2160.0,0.9722222222222222,175
safe_graph_adp_critic_only,2250.0,0.9777777777777777,176
safe_graph_adp_critic_only,2340.0,0.9833333333333333,177
safe_graph_adp_critic_safeguard,0.0,0.0,0
safe_graph_adp_critic_safeguard,90.0,0.06666666666666667,12
safe_graph_adp_critic_safeguard,180.0,0.09444444444444444,17
safe_graph_adp_critic_safeguard,270.0,0.14444444444444443,26
safe_graph_adp_critic_safeguard,360.0,0.21666666666666667,39
safe_graph_adp_critic_safeguard,450.0,0.2388888888888889,43
safe_graph_adp_critic_safeguard,540.0,0.3388888888888889,61
safe_graph_adp_critic_safeguard,630.0,0.38333333333333336,69
safe_graph_adp_critic_safeguard,720.0,0.4388888888888889,79
safe_graph_adp_critic_safeguard,810.0,0.4722222222222222,85
safe_graph_adp_critic_safeguard,900.0,0.5388888888888889,97
safe_graph_adp_critic_safeguard,990.0,0.65,117
safe_graph_adp_critic_safeguard,1080.0,0.6944444444444444,125
safe_graph_adp_critic_safeguard,1170.0,0.7611111111111111,137
safe_graph_adp_critic_safeguard,1260.0,0.8555555555555555,154
safe_graph_adp_critic_safeguard,1350.0,0.8833333333333333,159
safe_graph_adp_critic_safeguard,1440.0,0.9,162
safe_graph_adp_critic_safeguard,1530.0,0.9055555555555556,163
safe_graph_adp_critic_safeguard,1620.0,0.9111111111111111,164
safe_graph_adp_critic_safeguard,1710.0,0.9277777777777778,167
safe_graph_adp_critic_safeguard,1800.0,0.9555555555555556,172
safe_graph_adp_critic_safeguard,1890.0,0.9833333333333333,177
safe_graph_adp_rollout,0.0,0.0,0
safe_graph_adp_rollout,90.0,0.06666666666666667,12
safe_graph_adp_rollout,180.0,0.09444444444444444,17
safe_graph_adp_rollout,270.0,0.14444444444444443,26
safe_graph_adp_rollout,360.0,0.21666666666666667,39
safe_graph_adp_rollout,450.0,0.2388888888888889,43
safe_graph_adp_rollout,540.0,0.28888888888888886,52
safe_graph_adp_rollout,630.0,0.38333333333333336,69
safe_graph_adp_rollout,720.0,0.4722222222222222,85
safe_graph_adp_rollout,810.0,0.5388888888888889,97
safe_graph_adp_rollout,900.0,0.65,117
safe_graph_adp_rollout,990.0,0.6944444444444444,125
safe_graph_adp_rollout,1080.0,0.7611111111111111,137
safe_graph_adp_rollout,1170.0,0.8777777777777778,158
safe_graph_adp_rollout,1260.0,0.8833333333333333,159
safe_graph_adp_rollout,1350.0,0.9,162
safe_graph_adp_rollout,1440.0,0.9055555555555556,163
safe_graph_adp_rollout,1530.0,0.9111111111111111,164
safe_graph_adp_rollout,1620.0,0.9277777777777778,167
safe_graph_adp_rollout,1710.0,0.9555555555555556,172
safe_graph_adp_rollout,1800.0,0.9833333333333333,177
safe_graph_adp_local_search,0.0,0.0,0
safe_graph_adp_local_search,90.0,0.06666666666666667,12
safe_graph_adp_local_search,180.0,0.09444444444444444,17
safe_graph_adp_local_search,270.0,0.14444444444444443,26
safe_graph_adp_local_search,360.0,0.21666666666666667,39
safe_graph_adp_local_search,450.0,0.2611111111111111,47
safe_graph_adp_local_search,540.0,0.3277777777777778,59
safe_graph_adp_local_search,630.0,0.3388888888888889,61
safe_graph_adp_local_search,720.0,0.34444444444444444,62
safe_graph_adp_local_search,810.0,0.38333333333333336,69
safe_graph_adp_local_search,900.0,0.4388888888888889,79
safe_graph_adp_local_search,990.0,0.5055555555555555,91
safe_graph_adp_local_search,1080.0,0.6388888888888888,115
safe_graph_adp_local_search,1170.0,0.6944444444444444,125
safe_graph_adp_local_search,1260.0,0.7222222222222222,130
safe_graph_adp_local_search,1350.0,0.7555555555555555,136
safe_graph_adp_local_search,1440.0,0.8,144
safe_graph_adp_local_search,1530.0,0.8944444444444445,161
safe_graph_adp_local_search,1620.0,0.9833333333333333,177
safe_graph_adp_no_local,0.0,0.0,0
safe_graph_adp_no_local,90.0,0.06666666666666667,12
safe_graph_adp_no_local,180.0,0.09444444444444444,17
safe_graph_adp_no_local,270.0,0.14444444444444443,26
safe_graph_adp_no_local,360.0,0.21666666666666667,39
safe_graph_adp_no_local,450.0,0.2388888888888889,43
safe_graph_adp_no_local,540.0,0.28888888888888886,52
safe_graph_adp_no_local,630.0,0.38333333333333336,69
safe_graph_adp_no_local,720.0,0.4722222222222222,85
safe_graph_adp_no_local,810.0,0.5388888888888889,97
safe_graph_adp_no_local,900.0,0.65,117
safe_graph_adp_no_local,990.0,0.6944444444444444,125
safe_graph_adp_no_local,1080.0,0.7611111111111111,137
safe_graph_adp_no_local,1170.0,0.8777777777777778,158
safe_graph_adp_no_local,1260.0,0.8833333333333333,159
safe_graph_adp_no_local,1350.0,0.9,162
safe_graph_adp_no_local,1440.0,0.9055555555555556,163
safe_graph_adp_no_local,1530.0,0.9111111111111111,164
safe_graph_adp_no_local,1620.0,0.9277777777777778,167
safe_graph_adp_no_local,1710.0,0.9555555555555556,172
safe_graph_adp_no_local,1800.0,0.9833333333333333,177
safe_graph_adp,0.0,0.0,0
safe_graph_adp,90.0,0.06666666666666667,12
safe_graph_adp,180.0,0.09444444444444444,17
safe_graph_adp,270.0,0.14444444444444443,26
safe_graph_adp,360.0,0.21666666666666667,39
