method,time,coverage_ratio,inspected_targets
safe_graph_adp,0.0,0.0,0
safe_graph_adp,90.0,0.13333333333333333,12
safe_graph_adp,180.0,0.2777777777777778,25
safe_graph_adp,270.0,0.37777777777777777,34
safe_graph_adp,360.0,0.4888888888888889,44
safe_graph_adp,450.0,0.5555555555555556,50
safe_graph_adp,540.0,0.6111111111111112,55
safe_graph_adp,630.0,0.6444444444444445,58
safe_graph_adp,720.0,0.7,63
safe_graph_adp,810.0,0.7222222222222222,65
safe_graph_adp,900.0,0.7444444444444445,67
safe_graph_adp,990.0,0.7777777777777778,70
safe_graph_adp,1080.0,0.8333333333333334,75
safe_graph_adp,1170.0,0.8444444444444444,76
safe_graph_adp,1260.0,0.8555555555555555,77
safe_graph_adp,1350.0,0.8666666666666667,78
safe_graph_adp,1440.0,0.8777777777777778,79
safe_graph_adp,1530.0,0.8888888888888888,80
safe_graph_adp,1620.0,0.9222222222222223,83
safe_graph_adp,1710.0,0.9444444444444444,85
