method,time,rx,ry,rz,vx,vy,vz,ax,ay,az
safe_graph_adp,2.0,-0.03447261525853253,-35.011330703590474,9.994049718621962,-0.034481185883809905,-0.011304696358965945,-0.005950278839269515,-0.017227729642556287,-0.005691349346849239,-0.002962342053354699
safe_graph_adp,4.0,-0.13640141197865058,-35.04455260941269,9.976468926571512,-0.06745572697098048,-0.021892338609713444,-0.011630505710099378,-0.016449377415010787,-0.005409139967025587,-0.0028273311865207873
safe_graph_adp,6.0,-0.3027683538373497,-35.09824548410348,9.947797786050149,-0.09891888313645278,-0.03177680518072003,-0.017040622578336634,-0.015670008691341043,-0.00513045529578547,-0.002692305843864761
safe_graph_adp,8.0,-0.530545971892119,-35.171016881718245,9.90857657256213,-0.1288659618967295,-0.04097200502614991,-0.022180574175428167,-0.014889627461883614,-0.004855299924221056,-0.0025572667167109496
safe_graph_adp,10.0,-0.8166974599399979,-35.26150220453049,9.859345669382835,-0.1572923184857402,-0.04949187737394209,-0.02705030799884484,-0.014108237722159057,-0.004583678425354636,-0.002422214496454262
safe_graph_adp,12.0,-1.1581767700279135,-35.3683647633271,9.800645562026322,-0.18419335593025757,-0.05735039147350939,-0.03164977431248436,-0.013325843472851453,-0.0043155953541152165,-0.0022871498745566394
safe_graph_adp,14.0,-1.5519287081134023,-35.4902958371987,9.733016832712085,-0.20956452512486412,-0.06456154634305052,-0.03597892614705295,-0.012542448719787925,-0.004051055247315199,-0.0021520735425435227
safe_graph_adp,16.0,-1.9948890298748148,-35.62601473282417,9.657000154831078,-0.23340132490646892,-0.07113937051647747,-0.040037719300425684,-0.011758057473918152,-0.0037900626236271437,-0.002016986192000305
safe_graph_adp,18.0,-2.4839845366701017,-35.774268843248684,9.573136287411028,-0.2556993021283732,-0.07709792178996042,-0.04382611233798569,-0.010972673751293805,-0.0035326219835606462,-0.0018818885145687968
safe_graph_adp,20.0,-3.0161331716432827,-35.93383370615447,9.481966069581112,-0.2764540517338848,-0.08245128696809242,-0.047344066592942,-0.010186301573048005,-0.0032787378094392824,-0.0017467812019436807
safe_graph_adp,22.0,-3.5882441159776883,-36.10351306162347,9.384030415035992,-0.2956612168294803,-0.08721358160967604,-0.0505915461666262,-0.009398944965374715,-0.00302841456537767,-0.00161166494586897
safe_graph_adp,24.0,-4.1972178852950774,-36.282138909391215,9.2798703064993,-0.3133164887575144,-0.09139894977313424,-0.05356851792876781,-0.008610607959508142,-0.002781656697258607,-0.001476540438134468
safe_graph_adp,26.0,-4.839946426199718,-36.468571565591205,9.170026790186583,-0.3294156071684761,-0.0950215637615477,-0.0562749515177484,-0.007821294591702093,-0.002538468632710308,-0.0013414083705722288
safe_graph_adp,28.0,-5.513313212966524,-36.6616997189889,9.055040970267768,-0.343954360092791,-0.09809562386732085,-0.05871081934083447,-0.007031008903209308,-0.0022988547810837384,-0.0012062694350530086
safe_graph_adp,30.0,-6.214193344372349,-36.860440486704725,8.935454003329172,-0.3569285840121684,-0.10063535811647879,-0.06087609657438901,-0.006239754940260771,-0.0020628195334300367,-0.0010711243234827312
safe_graph_adp,32.0,-6.939453640669513,-37.06373946942533,8.811807092835119,-0.368334163930494,-0.10265502201259753,-0.0627707611640619,-0.005447536754044989,-0.001830367262478033,-0.0009359737277989393
safe_graph_adp,34.0,-7.68595274070066,-37.270570806102256,8.684641483589196,-0.37816703344426594,-0.10416889828036949,-0.06439479382495891,-0.004654358400687263,-0.0016015023226118588,-0.000800818339967254
safe_graph_adp,36.0,-8.450541199154033,-37.479937228137466,8.55449845619519,-0.386423174812575,-0.1051912966088068,-0.0657481780417896,-0.003860223941228899,-0.0013762290498486565,-0.0006656588519778329
safe_graph_adp,38.0,-9.230061583958252,-37.690870113054864,8.421919321517754,-0.39309861902662735,-0.1057365533940845,-0.06683090006899377,-0.0030651374416064293,-0.0011545517618163767,-0.000530495955841826
safe_graph_adp,40.0,-10.021348573815677,-37.90242953765716,8.28744541514283,-0.3981894458788099,-0.10581903148202597,-0.06764294893084678,-0.002269102972630809,-0.0009364747577316724,-0.0003953303435878328
safe_graph_adp,42.0,-10.821229055873449,-38.11370433066736,8.151618091837904,-0.401691784031297,-0.10545311991023279,-0.06818431642154359,-0.0014721246099665347,-0.000722002318377887,-0.00026016270725835863
safe_graph_adp,44.0,-11.62652222353128,-38.323812124854115,8.01497872001209,-0.40360181108419874,-0.10465323364986134,-0.06845499710526141,-0.000674206434110824,-0.0005111387060831379,-0.000124993738906272
safe_graph_adp,46.0,-12.434039674385085,-38.53189940864035,7.878068676176134,-0.40391575364324916,-0.10343381334704839,-0.06845498831620128,0.00012464746962732463,-0.00030388816469849365,1.0175869408736698e-05
safe_graph_adp,48.0,-13.240585508305525,-38.73714157719433,7.741429339402331,-0.402629887387035,-0.10180932506398792,-0.06818429015860819,0.0009244330111480017,-0.00010025491957624299,0.00014534542562370323
safe_graph_adp,50.0,-14.042956425650553,-38.938742983002555,7.605602085784446,-0.3997405371337634,-0.09979426001966155,-0.06764290550677005,0.0017251460955813574,9.975682245173584e-05,0.00028051423767592835
safe_graph_adp,52.0,-14.837941825611031,-39.13593698592378,7.471128282897642,-0.3952440769075686,-0.09740313433022471,-0.06683084000499533,0.002526782623308564,0.00029614287309551505,0.00041568161350652314
safe_graph_adp,54.0,-15.622323904688496,-39.32798600272345,7.338549284258482,-0.3891369300043564,-0.09465048874905094,-0.0657481020675695,0.003329338489982788,0.0004888990626285618,0.0005508468610639526
safe_graph_adp,56.0,-16.39287775530416,-39.51418155608789,7.208406423785038,-0.38141556905718677,-0.0915508884064365,-0.06439470287869009,0.004132809586550241,0.0006780212399090851,0.0006860092883075783
safe_graph_adp,58.0,-17.146371464538202,-39.693844323117574,7.081241010257151,-0.3720765161011931,-0.08811892254896778,-0.06277065639238061,0.004937191799271168,0.0008635052724012912,0.0008211682032112015
safe_graph_adp,60.0,-17.879566212998448,-39.86632418329877,6.957594321776882,-0.3611163426380379,-0.0843692042785534,-0.06087597933238309,0.005742481009740952,0.0010453470461965417,0.0009563229137666061
safe_graph_adp,62.0,-18.589216373817486,-40.031000265952954,6.8380076002292025,-0.34853166969990446,-0.08031637029112386,-0.05871069119202945,0.00654867309491118,0.0012235424660344174,0.0010914727279871025
safe_graph_adp,64.0,-19.272069611777304,-40.187280997163256,6.723022045742964,-0.334319167913024,-0.07597508061500038,-0.05627481423409151,0.007355763927110755,0.0013980874553236827,0.0012266169539110708
safe_graph_adp,66.0,-19.92486698256053,-40.334604146177334,6.613178811152185,-0.3184755575607372,-0.07136001834893588,-0.05356837349060982,0.008163749374067036,0.0015689779561631621,0.001361754899605502
safe_graph_adp,68.0,-20.544343032127298,-40.472436871286,6.509018996457703,-0.3009976086460901,-0.06648588939982979,-0.05059139676270116,0.008972625298926984,0.0017362099293625124,0.0014968858731695418
safe_graph_adp,70.0,-21.127225896216874,-40.60027576517695,6.411083643289236,-0.2818821409539637,-0.06136742222011951,-0.04734391462034483,0.009782387560278353,0.001899779354462906,0.0016320091827380333
