method,time,coverage_ratio,inspected_targets
safe_graph_adp,0.0,0.0,0
safe_graph_adp,90.0,0.07222222222222222,13
safe_graph_adp,180.0,0.1,18
safe_graph_adp,270.0,0.11666666666666667,21
safe_graph_adp,360.0,0.22777777777777777,41
safe_graph_adp,450.0,0.2611111111111111,47
safe_graph_adp,540.0,0.39444444444444443,71
safe_graph_adp,630.0,0.45,81
safe_graph_adp,720.0,0.5055555555555555,91
safe_graph_adp,810.0,0.5944444444444444,107
safe_graph_adp,900.0,0.6166666666666667,111
safe_graph_adp,990.0,0.6444444444444445,116
safe_graph_adp,1080.0,0.7388888888888889,133
safe_graph_adp,1170.0,0.7555555555555555,136
safe_graph_adp,1260.0,0.8888888888888888,160
safe_graph_adp,1350.0,0.9444444444444444,170
safe_graph_adp,1440.0,0.9611111111111111,173
safe_graph_adp,1530.0,0.9777777777777777,176
safe_graph_adp,1620.0,0.9833333333333333,177
set_cover_cw_tour,0.0,0.0,0
set_cover_cw_tour,90.0,0.07222222222222222,13
set_cover_cw_tour,180.0,0.1,18
set_cover_cw_tour,270.0,0.11666666666666667,21
set_cover_cw_tour,360.0,0.22777777777777777,41
set_cover_cw_tour,450.0,0.2388888888888889,43
set_cover_cw_tour,540.0,0.2611111111111111,47
set_cover_cw_tour,630.0,0.39444444444444443,71
set_cover_cw_tour,720.0,0.45,81
set_cover_cw_tour,810.0,0.5055555555555555,91
set_cover_cw_tour,900.0,0.5944444444444444,107
set_cover_cw_tour,990.0,0.6333333333333333,114
set_cover_cw_tour,1080.0,0.6444444444444445,116
set_cover_cw_tour,1170.0,0.7388888888888889,133
set_cover_cw_tour,1260.0,0.7555555555555555,136
set_cover_cw_tour,1350.0,0.8888888888888888,160
set_cover_cw_tour,1440.0,0.9444444444444444,170
set_cover_cw_tour,1530.0,0.9611111111111111,173
set_cover_cw_tour,1620.0,0.9777777777777777,176
set_cover_cw_tour,1710.0,0.9833333333333333,177
