family,case_id,case_label,run_dir,case_elapsed_s,method,random_seed,initial_x,initial_y,initial_z,mesh_target_count,candidate_limit,branch_width,candidate_pool_width,lookahead_depth,training_episodes,coverage,raw_coverage,coverage_success,feasible,total_delta_v,min_clearance,passive_margin,peak_input,selected_count,planning_time,graph_cost,policy_source,learned_graph_cost,rollout_graph_cost,reference_graph_cost,improved_reference_graph_cost,incumbent_improvement,exact_cost,optimality_gap,exact_expansions,td_updates,mean_absolute_td_error,shield_rejections,safe_action_evaluations
primary,primary,"ISS mesh, N=180",data/results/adp_paper_study_20260731_final/cases/primary,423.9590534589952,safe_graph_adp,7,0.0,-35.0,10.0,180,96,6,18,2,80,0.9833333333333333,0.9833333333333333,True,True,19.465129023481527,9.910694612040198,1.5091074156907407,0.038490484884177716,18,340.2934893749916,161.18106556478438,reference_improved,354.2550992013093,173.3145211507057,178.83444204067263,161.18106556478438,17.65337647588825,,,,167,136.66771198157534,9547,25069
primary,primary,"ISS mesh, N=180",data/results/adp_paper_study_20260731_final/cases/primary,423.9590534589952,set_cover_cw_tour,7,0.0,-35.0,10.0,180,96,6,18,2,80,0.9833333333333333,0.9833333333333333,True,True,21.592132727998507,9.910694612040198,1.5091074156907407,0.038829011624937425,21,6.0453052910015685,,,,,,,,,,,,,,
primary,primary,"ISS mesh, N=180",data/results/adp_paper_study_20260731_final/cases/primary,423.9590534589952,safe_coverage_greedy,7,0.0,-35.0,10.0,180,96,6,18,2,80,0.9833333333333333,0.9833333333333333,True,False,45.366548894324495,0.8866929178376886,-2.3959423771018247,0.05814648454033674,20,6.0385184999904595,,,,,,,,,,,,,,
primary,primary,"ISS mesh, N=180",data/results/adp_paper_study_20260731_final/cases/primary,423.9590534589952,fuel_greedy,7,0.0,-35.0,10.0,180,96,6,18,2,80,0.9666666666666667,0.9666666666666667,True,False,24.288350387023055,0.1431502771482429,-1.9925145267943831,0.03678255766545061,36,10.84856966600637,,,,,,,,,,,,,,
primary,primary,"ISS mesh, N=180",data/results/adp_paper_study_20260731_final/cases/primary,423.9590534589952,coverage_greedy,7,0.0,-35.0,10.0,180,96,6,18,2,80,0.9833333333333333,0.9833333333333333,True,False,49.74550747881375,-1.8946551303647539,-3.4349749651875423,0.08487140234393535,18,5.353150833005202,,,,,,,,,,,,,,
oracle,oracle_n8_seed3,"8 nodes, seed 3",data/results/adp_paper_study_20260731_final/cases/oracle_n8_seed3,12.541830707996269,safe_graph_adp,3,0.0,-35.0,10.0,48,8,4,8,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,8.34507808300259,44.01589911141055,rollout_adp,40.82806434965594,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,23,199,112.70882480156243,1039,1441
oracle,oracle_n8_seed7,"8 nodes, seed 7",data/results/adp_paper_study_20260731_final/cases/oracle_n8_seed7,12.578742124998826,safe_graph_adp,7,0.0,-35.0,10.0,48,8,4,8,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,8.415855541999917,44.01589911141055,rollout_adp,40.82806434965594,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,23,197,113.20832971190163,1034,1432
oracle,oracle_n8_seed11,"8 nodes, seed 11",data/results/adp_paper_study_20260731_final/cases/oracle_n8_seed11,12.729683375000604,safe_graph_adp,11,0.0,-35.0,10.0,48,8,4,8,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,8.485011249998934,44.01589911141055,rollout_adp,40.82806434965594,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,23,199,101.85223627728044,1037,1433
oracle,oracle_n10_seed3,"10 nodes, seed 3",data/results/adp_paper_study_20260731_final/cases/oracle_n10_seed3,18.040638624996063,safe_graph_adp,3,0.0,-35.0,10.0,48,10,4,10,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,13.794104999993579,44.01589911141055,rollout_adp,52.96813461637238,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,97,201,98.51516891875899,1431,1899
oracle,oracle_n10_seed7,"10 nodes, seed 7",data/results/adp_paper_study_20260731_final/cases/oracle_n10_seed7,17.980655082996236,safe_graph_adp,7,0.0,-35.0,10.0,48,10,4,10,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,13.686375124991173,44.01589911141055,rollout_adp,52.96813461637238,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,97,200,103.77323489348908,1426,1898
oracle,oracle_n10_seed11,"10 nodes, seed 11",data/results/adp_paper_study_20260731_final/cases/oracle_n10_seed11,18.32005945799756,safe_graph_adp,11,0.0,-35.0,10.0,48,10,4,10,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,14.008015125000384,44.01589911141055,rollout_adp,52.96813461637238,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,97,203,97.33234691125332,1435,1910
oracle,oracle_n12_seed3,"12 nodes, seed 3",data/results/adp_paper_study_20260731_final/cases/oracle_n12_seed3,23.96280508300697,safe_graph_adp,3,0.0,-35.0,10.0,48,12,4,12,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,19.603561666997848,44.01589911141055,rollout_adp,54.228095208539,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,439,201,98.20904507510083,1801,2408
oracle,oracle_n12_seed7,"12 nodes, seed 7",data/results/adp_paper_study_20260731_final/cases/oracle_n12_seed7,23.931361957991612,safe_graph_adp,7,0.0,-35.0,10.0,48,12,4,12,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,19.631178666997585,44.01589911141055,rollout_adp,54.228095208539,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,439,200,103.63597337957144,1793,2407
oracle,oracle_n12_seed11,"12 nodes, seed 11",data/results/adp_paper_study_20260731_final/cases/oracle_n12_seed11,24.094657542009372,safe_graph_adp,11,0.0,-35.0,10.0,48,12,4,12,2,50,0.425,0.3541666666666667,True,True,5.319807774692384,17.835719230731435,9.236051087893529,0.05473247092103922,4,19.789551249996293,44.01589911141055,rollout_adp,54.228095208539,44.01589911141055,44.01589911141055,44.01589911141055,0.0,44.01589911141055,0.0,439,203,97.1996285768127,1808,2423
robustness,robustness_ic0,"ic0: r0=(0.0, -35.0, 10.0) m",data/results/adp_paper_study_20260731_final/cases/robustness_ic0,305.52876525001193,safe_graph_adp,7,0.0,-35.0,10.0,180,72,5,15,2,50,0.9833333333333333,0.9833333333333333,True,True,19.465129023481527,9.910694612040198,1.5091074156907407,0.038490484884177716,18,273.45806895798887,161.18106556478438,reference_improved,325.48650832552534,173.58247644498428,178.83444204067263,161.18106556478438,17.65337647588825,,,,135,143.57831610393063,5477,19374
robustness,robustness_ic0,"ic0: r0=(0.0, -35.0, 10.0) m",data/results/adp_paper_study_20260731_final/cases/robustness_ic0,305.52876525001193,set_cover_cw_tour,7,0.0,-35.0,10.0,180,72,5,15,2,50,0.9833333333333333,0.9833333333333333,True,True,21.592132727998507,9.910694612040198,1.5091074156907407,0.038829011624937425,21,6.097856500011403,,,,,,,,,,,,,,
robustness,robustness_ic1,"ic1: r0=(18.0, -42.0, 12.0) m",data/results/adp_paper_study_20260731_final/cases/robustness_ic1,231.3306702500122,safe_graph_adp,7,18.0,-42.0,12.0,180,72,5,15,2,50,0.9833333333333333,0.9833333333333333,True,True,37.124198572304,4.124817537135566,4.124817537135566,0.05814648454033671,22,196.4498328329937,306.8203117271619,learned_adp,306.8203117271619,,,,,,,,149,132.88454634043953,5062,7785
robustness,robustness_ic1,"ic1: r0=(18.0, -42.0, 12.0) m",data/results/adp_paper_study_20260731_final/cases/robustness_ic1,231.3306702500122,set_cover_cw_tour,7,18.0,-42.0,12.0,180,72,5,15,2,50,0.9833333333333333,0.9833333333333333,True,False,23.08792830842025,0.8078558891368477,-2.445811471494033,0.04804519422140907,22,6.482395958999405,,,,,,,,,,,,,,
robustness,robustness_ic2,"ic2: r0=(-20.0, -32.0, 8.0) m",data/results/adp_paper_study_20260731_final/cases/robustness_ic2,270.1166615830007,safe_graph_adp,7,-20.0,-32.0,8.0,180,72,5,15,2,50,0.9833333333333333,0.9833333333333333,True,True,20.098986939416555,6.862639504263001,6.862639504263001,0.04908235486061991,18,239.29163395900105,166.39500198753382,rollout_adp,285.66386838199776,166.39500198753382,167.24251241099478,166.39500198753382,0.8475104234609603,,,,116,151.86362009458827,4878,13556
robustness,robustness_ic2,"ic2: r0=(-20.0, -32.0, 8.0) m",data/results/adp_paper_study_20260731_final/cases/robustness_ic2,270.1166615830007,set_cover_cw_tour,7,-20.0,-32.0,8.0,180,72,5,15,2,50,0.9833333333333333,0.9833333333333333,True,True,20.19340183154762,6.862639504263001,6.862639504263001,0.04908235486061991,19,5.458683083998039,,,,,,,,,,,,,,
compute,compute_critic_free,"0 episodes, depth 1",data/results/adp_paper_study_20260731_final/cases/compute_critic_free,72.05454683300923,safe_graph_adp,7,0.0,-35.0,10.0,90,48,4,12,1,0,0.9550561797752809,0.9444444444444444,False,True,32.2307450117242,10.900390127681101,10.273866453521611,0.05985927120567667,19,60.77153629199893,266.4156591430532,learned_adp,266.4156591430532,,,,,,,,0,0.0,395,755
compute,compute_short_training,"20 episodes, depth 2",data/results/adp_paper_study_20260731_final/cases/compute_short_training,94.63254141699872,safe_graph_adp,7,0.0,-35.0,10.0,90,48,4,12,2,20,0.9662921348314607,0.9555555555555556,True,True,30.19482178843986,9.521744853357399,9.521744853357399,0.05947790483781672,18,83.9843354170007,249.55330425523618,learned_adp,249.55330425523618,,,,,,,,299,107.41482821156404,2655,5272
compute,compute_primary_compute,"80 episodes, depth 2",data/results/adp_paper_study_20260731_final/cases/compute_primary_compute,100.9920375419897,safe_graph_adp,7,0.0,-35.0,10.0,90,48,4,12,2,80,0.9325842696629213,0.9222222222222223,False,True,26.949020177395035,14.427350354597863,14.427350354597863,0.05947790483781672,16,91.2273372089985,222.74201579718914,learned_adp,222.74201579718914,,,,,,,,1402,78.3222723804342,8808,16839
