method,time,coverage_ratio,inspected_targets
set_cover_cw_tour,0.0,0.0,0
set_cover_cw_tour,80.0,0.06666666666666667,12
set_cover_cw_tour,160.0,0.09444444444444444,17
set_cover_cw_tour,240.0,0.14444444444444443,26
set_cover_cw_tour,320.0,0.21666666666666667,39
set_cover_cw_tour,400.0,0.22777777777777777,41
set_cover_cw_tour,480.0,0.3055555555555556,55
set_cover_cw_tour,560.0,0.37222222222222223,67
set_cover_cw_tour,640.0,0.37777777777777777,68
set_cover_cw_tour,720.0,0.43333333333333335,78
set_cover_cw_tour,800.0,0.45555555555555555,82
set_cover_cw_tour,880.0,0.5222222222222223,94
set_cover_cw_tour,960.0,0.6333333333333333,114
set_cover_cw_tour,1040.0,0.7055555555555556,127
set_cover_cw_tour,1120.0,0.7333333333333333,132
set_cover_cw_tour,1200.0,0.75,135
set_cover_cw_tour,1280.0,0.8444444444444444,152
set_cover_cw_tour,1360.0,0.8666666666666667,156
set_cover_cw_tour,1440.0,0.9,162
set_cover_cw_tour,1520.0,0.9055555555555556,163
set_cover_cw_tour,1600.0,0.9222222222222223,166
set_cover_cw_tour,1680.0,0.9277777777777778,167
set_cover_cw_tour,1760.0,0.9555555555555556,172
set_cover_cw_tour,1840.0,0.9833333333333333,177
proposed_safe_cw_nbv,0.0,0.0,0
proposed_safe_cw_nbv,80.0,0.12777777777777777,23
proposed_safe_cw_nbv,160.0,0.2611111111111111,47
proposed_safe_cw_nbv,240.0,0.39444444444444443,71
proposed_safe_cw_nbv,320.0,0.5222222222222223,94
proposed_safe_cw_nbv,400.0,0.6388888888888888,115
proposed_safe_cw_nbv,480.0,0.7111111111111111,128
proposed_safe_cw_nbv,560.0,0.7722222222222223,139
proposed_safe_cw_nbv,640.0,0.8055555555555556,145
proposed_safe_cw_nbv,720.0,0.85,153
proposed_safe_cw_nbv,800.0,0.8777777777777778,158
proposed_safe_cw_nbv,880.0,0.8833333333333333,159
proposed_safe_cw_nbv,960.0,0.8888888888888888,160
proposed_safe_cw_nbv,1040.0,0.9111111111111111,164
proposed_safe_cw_nbv,1120.0,0.9333333333333333,168
proposed_safe_cw_nbv,1200.0,0.9444444444444444,170
proposed_safe_cw_nbv,1280.0,0.9555555555555556,172
proposed_safe_cw_nbv,1360.0,0.9611111111111111,173
proposed_safe_cw_nbv,1440.0,0.9666666666666667,174
proposed_safe_cw_nbv,1520.0,0.9722222222222222,175
proposed_safe_cw_nbv,1600.0,0.9833333333333333,177
coverage_greedy,0.0,0.0,0
coverage_greedy,80.0,0.13333333333333333,24
coverage_greedy,160.0,0.26666666666666666,48
coverage_greedy,240.0,0.39444444444444443,71
coverage_greedy,320.0,0.5222222222222223,94
coverage_greedy,400.0,0.6388888888888888,115
coverage_greedy,480.0,0.7111111111111111,128
coverage_greedy,560.0,0.7722222222222223,139
coverage_greedy,640.0,0.8166666666666667,147
coverage_greedy,720.0,0.85,153
coverage_greedy,800.0,0.8777777777777778,158
coverage_greedy,880.0,0.9,162
coverage_greedy,960.0,0.9222222222222223,166
coverage_greedy,1040.0,0.9388888888888889,169
coverage_greedy,1120.0,0.9555555555555556,172
coverage_greedy,1200.0,0.9666666666666667,174
coverage_greedy,1280.0,0.9722222222222222,175
coverage_greedy,1360.0,0.9777777777777777,176
coverage_greedy,1440.0,0.9833333333333333,177
safe_coverage_greedy,0.0,0.0,0
safe_coverage_greedy,80.0,0.13333333333333333,24
safe_coverage_greedy,160.0,0.26666666666666666,48
safe_coverage_greedy,240.0,0.39444444444444443,71
safe_coverage_greedy,320.0,0.5222222222222223,94
safe_coverage_greedy,400.0,0.6388888888888888,115
safe_coverage_greedy,480.0,0.7111111111111111,128
safe_coverage_greedy,560.0,0.7777777777777778,140
safe_coverage_greedy,640.0,0.8388888888888889,151
safe_coverage_greedy,720.0,0.8611111111111112,155
safe_coverage_greedy,800.0,0.8944444444444445,161
safe_coverage_greedy,880.0,0.9166666666666666,165
safe_coverage_greedy,960.0,0.9388888888888889,169
safe_coverage_greedy,1040.0,0.9555555555555556,172
safe_coverage_greedy,1120.0,0.9611111111111111,173
safe_coverage_greedy,1200.0,0.9722222222222222,175
safe_coverage_greedy,1280.0,0.9777777777777777,176
safe_coverage_greedy,1360.0,0.9833333333333333,177
distance_greedy,0.0,0.0,0
