candidate_id,source_target_id,x,y,z,safety_margin,visible_target_count
cand_0000,main_truss_0000,58.0,0.0,0.0,16.0,1
cand_0001,main_truss_0000,66.0,0.0,0.0,24.0,2
cand_0002,main_truss_0002,-40.0,20.0,0.0,16.0,2
cand_0003,main_truss_0002,-40.0,28.0,0.0,24.0,1
cand_0004,main_truss_0004,-8.0,20.0,0.0,7.013878188659973,2
cand_0005,main_truss_0004,-8.0,28.0,0.0,15.00735135169495,6
cand_0006,main_truss_0006,24.0,20.0,0.0,16.0,3
cand_0007,main_truss_0006,24.0,28.0,0.0,21.69071548096427,5
cand_0008,main_truss_0008,-40.0,-20.0,0.0,16.0,2
cand_0009,main_truss_0008,-40.0,-28.0,0.0,24.0,1
cand_0010,main_truss_0010,-8.0,-20.0,0.0,7.013878188659973,2
cand_0011,main_truss_0010,-8.0,-28.0,0.0,15.00735135169495,6
cand_0012,main_truss_0012,24.0,-20.0,0.0,16.0,3
cand_0013,main_truss_0012,24.0,-28.0,0.0,21.69071548096427,5
cand_0014,main_truss_0014,-40.0,0.0,20.0,0.0,0
cand_0015,main_truss_0014,-40.0,0.0,28.0,8.0,0
cand_0016,main_truss_0016,-8.0,0.0,20.0,0.8284271247461903,4
cand_0017,main_truss_0016,-8.0,0.0,28.0,8.198039027185569,6
cand_0018,main_truss_0018,24.0,0.0,20.0,0.0,2
cand_0019,main_truss_0018,24.0,0.0,28.0,8.0,4
cand_0020,main_truss_0020,-40.0,0.0,-20.0,16.0,1
cand_0021,main_truss_0020,-40.0,0.0,-28.0,24.0,1
cand_0022,main_truss_0022,-8.0,0.0,-20.0,10.529964086141668,3
cand_0023,main_truss_0022,-8.0,0.0,-28.0,17.924858845171276,4
cand_0024,main_truss_0024,24.0,0.0,-20.0,16.0,4
cand_0025,main_truss_0024,24.0,0.0,-28.0,24.0,4
cand_0026,left_array_0026,8.0,0.0,12.0,0.0,3
cand_0027,left_array_0028,-40.0,18.5,12.0,16.0,2
cand_0028,left_array_0028,-40.0,26.5,12.0,24.0,1
cand_0029,left_array_0030,-40.0,-18.5,12.0,16.0,2
cand_0030,left_array_0030,-40.0,-26.5,12.0,24.0,1
cand_0031,left_array_0032,-40.0,0.0,36.0,16.0,1
cand_0032,left_array_0032,-40.0,0.0,44.0,24.0,0
cand_0033,left_array_0034,-40.0,0.0,-12.0,8.0,1
cand_0034,right_array_0036,58.0,0.0,12.0,16.0,2
cand_0035,right_array_0036,66.0,0.0,12.0,24.0,2
cand_0036,right_array_0038,10.0,18.5,12.0,11.184410782639784,2
cand_0037,right_array_0038,10.0,26.5,12.0,17.214409633730625,5
cand_0038,right_array_0040,10.0,-18.5,12.0,11.184410782639784,2
cand_0039,right_array_0040,10.0,-26.5,12.0,17.214409633730625,5
cand_0040,right_array_0042,10.0,0.0,36.0,16.0,6
cand_0041,right_array_0042,10.0,0.0,44.0,24.0,3
cand_0042,right_array_0044,10.0,0.0,-12.0,6.54400374531753,3
cand_0043,right_array_0044,10.0,0.0,-20.0,11.601470508735444,3
cand_0044,module_1_0046,0.0,29.0,0.0,16.0,4
cand_0045,module_1_0046,0.0,37.0,0.0,24.0,2
cand_0046,module_1_0048,0.0,8.000000000000002,21.0,10.854960132182443,5
cand_0047,module_1_0048,0.0,8.000000000000002,29.0,14.650825805346713,4
cand_0048,module_1_0050,0.0,-13.0,2.5717582782094417e-15,0.0,1
cand_0049,module_1_0050,0.0,-21.0,3.551475717527324e-15,8.0,2
cand_0050,module_1_0052,0.0,7.999999999999996,-21.0,11.416407864998737,4
cand_0051,module_1_0052,0.0,7.999999999999995,-29.0,18.880613017821098,4
cand_0052,module_2_0054,0.0,13.0,0.0,0.0,1
cand_0053,module_2_0054,0.0,21.0,0.0,8.0,2
cand_0054,module_2_0056,0.0,-7.999999999999999,21.0,10.854960132182441,5
cand_0055,module_2_0056,0.0,-7.999999999999998,29.0,14.650825805346713,4
cand_0056,module_2_0058,0.0,-29.0,2.5717582782094417e-15,16.0,4
cand_0057,module_2_0058,0.0,-37.0,3.551475717527324e-15,24.0,2
cand_0058,module_2_0060,0.0,-8.000000000000004,-21.0,11.41640786499874,4
cand_0059,module_2_0060,0.0,-8.000000000000005,-29.0,18.8806130178211,4
cand_0060,docking_node_0062,20.0,0.0,-6.0,2.0,1
cand_0061,docking_node_0062,28.0,0.0,-6.0,2.0,1
cand_0062,docking_node_0064,1.2246467991473533e-15,20.0,-6.0,8.416407864998739,2
cand_0063,docking_node_0064,1.7145055188062944e-15,28.0,-6.0,15.880613017821101,4
cand_0064,docking_node_0066,-20.0,2.4492935982947065e-15,-6.0,2.0,1
cand_0065,docking_node_0066,-28.0,3.429011037612589e-15,-6.0,2.0,1
cand_0066,docking_node_0068,-3.673940397442059e-15,-20.0,-6.0,8.416407864998739,2
cand_0067,docking_node_0068,-5.143516556418883e-15,-28.0,-6.0,15.880613017821101,4
