scenario_id,method,action,candidate_id,sample,time,ax,ay,az,record_basis
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,0,3.0,0.031999300494366986,0.028667403619834064,0.02133617019082121,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,1,6.0,0.029839672440980212,0.026629480104814092,0.019867976171854176,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,2,9.0,0.027667291625499957,0.0246062598750413,0.018399553275719186,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,3,12.0,0.02548218307354355,0.022597829413957923,0.016930918418506302,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,4,15.0,0.023284371957350603,0.020604275034629464,0.015462088518747318,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,5,18.0,0.02107388359549305,0.01862568287875041,0.013993080497220929,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,6,21.0,0.018850743452583474,0.016662138915651874,0.01252391127675774,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,7,24.0,0.016614977138981767,0.014713728941311253,0.011054597782045403,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,8,27.0,0.01436661041050007,0.012780538577363849,0.009585156939433535,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,9,30.0,0.01210566916810609,0.010862653270116495,0.008115605676738847,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,10,33.0,0.009832179457624728,0.00896015828956329,0.006645960923050032,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,11,36.0,0.007546167469438036,0.00707313872840323,0.005176239608532824,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,12,39.0,0.005247659538183465,0.005201679501059979,0.0037064586642349094,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,13,42.0,0.0029366821424505456,0.003345865342703654,0.0022366350218909065,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,14,45.0,0.0006132619044758351,0.0015057808082747036,0.0007667856137273249,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,15,48.0,-0.0017225744101637625,-0.00031848972849020515,-0.0007030726277325212,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,16,51.0,-0.004070799892859349,-0.002126862076030099,-0.002172922769863552,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,17,54.0,-0.006431387492280013,-0.003919252225929634,-0.0036427478801339987,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,18,57.0,-0.008804310014684425,-0.0056955763538868295,-0.005112531026300441,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,19,60.0,-0.01118954012423416,-0.007455750820678727,-0.006582255276602899,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,20,63.0,-0.013587050343308567,-0.009199692173124906,-0.008051903699959857,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,21,66.0,-0.01599681305282131,-0.010927317145048859,-0.009521459366163318,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,22,69.0,-0.01841880049253856,-0.012638542658237214,-0.01099090534607384,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,23,72.0,-0.020852984761398765,-0.01433328582339676,-0.012460224711815569,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,24,75.0,-0.023299337817834095,-0.01601146394110936,-0.013929400536971214,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,25,78.0,-0.025757831480093436,-0.017672994502784627,-0.015398415896777068,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,26,81.0,-0.028228437426567075,-0.01931779519161041,-0.016867253868317965,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,27,84.0,-0.030711127196112978,-0.020945783883501077,-0.018335897530722248,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,28,87.0,-0.033205872188384604,-0.022556878648043576,-0.01980432996535666,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,29,90.0,-0.035712643664160416,-0.02415099774944127,-0.021272534256021287,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,30,93.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,31,96.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,32,99.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,33,102.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,34,105.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,35,108.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,36,111.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,37,114.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,38,117.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,39,120.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,40,123.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,41,126.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,42,129.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,43,132.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,44,135.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,45,138.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,46,141.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,47,144.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,48,147.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,1,cand_0016,49,150.0,-0.00018107148436544919,0.0,5.088569244214782e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,0,153.0,-0.008779426239294504,0.021253023374155283,5.0232487203906955e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,1,156.0,-0.008142847065953963,0.019805662943496807,5.0282937906706134e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,2,159.0,-0.007516388897391384,0.01835401563373028,5.03328093549137e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,3,162.0,-0.00690005895034441,0.016898150172819853,5.038210097401535e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,4,165.0,-0.00629386432487454,0.01543813533732236,5.0430812196176406e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,5,168.0,-0.0056978120042853585,0.013974039951595036,5.0478942460248285e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,6,171.0,-0.005111908855042063,0.012505932887002674,5.0526491211775e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,7,174.0,-0.004536161626692392,0.0110338830611242,5.057345790299952e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,8,177.0,-0.003970576951788845,0.00955795943695879,5.061984199287009e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,9,180.0,-0.0034151613458122876,0.008078231022131364,5.0665642947046464e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,10,183.0,-0.0028699212070968966,0.006594766868097722,5.071086023790609e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,11,186.0,-0.0023348628167564477,0.005107636069348972,5.075549334455012e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,12,189.0,-0.0018099923386119547,0.00361690776261563,5.079954175280949e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,13,192.0,-0.0012953158191206665,0.002122651126071161,5.0843004955250776e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,14,195.0,-0.0007908391873064167,0.0006249353785350473,5.088588245118209e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,15,198.0,-0.0002965682546913126,-0.0008761702213246136,5.092817374665881e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,16,201.0,0.00018749128477120675,-0.0023805963757889386,5.09698783544893e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,17,204.0,0.0006613338547619648,-0.003888273748886585,5.1010995794240504e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,18,207.0,0.0011249539966602883,-0.005399132967192481,5.105152559224348e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,19,210.0,0.0015783463696068894,-0.006913104620627008,5.109146728159887e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,20,213.0,0.002021505750565392,-0.0084301192632556,5.113082040218226e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,21,216.0,0.0024544270343824946,-0.00995010741408873,5.116958450064951e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,22,219.0,0.0028771052338467957,-0.011472999557882373,5.120775913044193e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,23,222.0,0.0032895354797462303,-0.012998726145938758,5.124534385179149e-05,planned_command_not_execution
