split,baseline,n,proposed_success_rate,baseline_success_rate,proposed_mean_penalized_cost,baseline_mean_penalized_cost,mean_paired_difference,median_paired_difference,bootstrap_95_ci,cohen_dz,cost_reduction_percent,wins,ties,losses,exact_sign_test_p,proposed_mean_coverage,baseline_mean_coverage,mean_selected_count_difference,proposed_median_online_time_s,baseline_median_online_time_s,proposed_mean_delta_v,baseline_mean_delta_v,mean_paired_delta_v_difference,median_paired_delta_v_difference,delta_v_bootstrap_95_ci,delta_v_cohen_dz,delta_v_reduction_percent,delta_v_wins,delta_v_ties,delta_v_losses,delta_v_exact_sign_test_p,holm_adjusted_sign_test_p
ood,local_search,20,1,1,92.06287720786827,100.45314071751892,-8.390263509650648,-7.215264730161259,"[-11.67714233529317, -5.223245960064727]",-1.1007804736570739,8.352415314962272,17,1,2,0.000728607177734375,0.8061414690236698,0.8121188506598747,-0.15,0.7332253500353545,0.004343800013884902,11.162320755633026,12.182425870403673,-1.0201051147706468,-0.8731293691511643,"[-1.4171824131853912, -0.6345545617688182]",-1.0971859544714628,8.373579495762984,17,1,2,0.000728607177734375,
ood,incumbent,20,1,1,92.06287720786827,107.85297572962399,-15.790098521755713,-16.130981619696954,"[-20.430097525508888, -11.686829756239867]",-1.527661876746808,14.640392084628088,20,0,0,1.9073486328125e-06,0.8061414690236698,0.8127766661140017,-0.4,0.7332253500353545,0.00024080000002868474,11.162320755633026,13.08265833885872,-1.9203375832256921,-1.9574803147497688,"[-2.4885728363542188, -1.4167174138183611]",-1.5245773628525228,14.678496781665679,20,0,0,1.9073486328125e-06,7.62939453125e-06
ood,rollout,20,1,1,92.06287720786827,98.7823173937241,-6.719440185855825,-5.556508306052905,"[-9.604572046222994, -4.021938201717669]",-1.0272515264406066,6.802270247491414,17,0,3,0.0025768280029296875,0.8061414690236698,0.8097209682048669,-0.15,0.7332253500353545,0.008825849974527955,11.162320755633026,11.97930455050903,-0.8169837948760031,-0.6745405102781055,"[-1.1626796408737023, -0.4896388750887872]",-1.0215679374011164,6.819960135676557,17,0,3,0.0025768280029296875,0.0025768280029296875
ood,search_only,20,1,0.65,92.06287720786827,262.7409393998103,-170.67806219194205,-78.71762357858947,"[-242.20190625055477, -107.11874674306827]",-1.0753034244237445,64.9605891574525,20,0,0,1.9073486328125e-06,0.8061414690236698,0.7557939114083454,-1.2,0.7332253500353545,0.3064285500149708,11.162320755633026,17.28355497762898,-6.1212342219959535,-6.816194902285048,"[-8.103954155617117, -3.8993473107588423]",-1.2504558986599954,35.416522989159304,19,0,1,4.00543212890625e-05,7.62939453125e-06
ood,frozen_adp,20,1,0.55,92.06287720786827,279.1877614092021,-187.12488420133386,-88.00627176333343,"[-260.803543848621, -119.84901510835941]",-1.149400770687457,67.02474465815398,20,0,0,1.9073486328125e-06,0.8061414690236698,0.7453850646161058,-1.55,0.7332253500353545,0.3408266500046011,11.162320755633026,15.979086428770499,-4.816765673137473,-5.92134780442331,"[-6.388459701565639, -2.887237243992538]",-1.1759416922171948,30.144186869562454,19,0,1,4.00543212890625e-05,7.62939453125e-06
test,local_search,30,1,1,92.78860224985183,106.80449918081989,-14.015896930968054,-12.842126952251206,"[-18.264899424005886, -10.450681599309501]",-1.2738966990230516,13.122946166564722,28,2,0,7.450580596923828e-09,0.8100282059040248,0.8139490921407317,0,1.6434437000134494,0.00760285000433214,11.239381504325918,12.94595893165574,-1.7065774273298222,-1.5556983885577855,"[-2.1986071934996407, -1.2651121977137536]",-1.2735948409068838,13.18231763548131,28,2,0,7.450580596923828e-09,
test,incumbent,30,1,1,92.78860224985183,111.92377845628198,-19.13517620643015,-17.915407231446757,"[-23.90698751326413, -14.58291963621109]",-1.4553181527056018,17.096613847703907,30,0,0,1.862645149230957e-09,0.8100282059040248,0.816669312716518,-0.5,1.6434437000134494,0.00028410000959411263,11.239381504325918,13.566212960330086,-2.326831456004169,-2.1690139871982703,"[-2.904290742451912, -1.7827613904011146]",-1.453407214854701,17.151665411771283,30,0,0,1.862645149230957e-09,7.450580596923828e-09
test,rollout,30,1,1,92.78860224985183,103.28583720088099,-10.497234951029167,-8.6572154443881,"[-13.802148261236534, -7.400725544298669]",-1.1446297942220747,10.163285921392152,28,2,0,7.450580596923828e-09,0.8100282059040248,0.8126045599664463,0.06666666666666667,1.6434437000134494,0.011811500007752329,11.239381504325918,12.51823049507189,-1.2788489907459732,-1.065651736373117,"[-1.682676218172378, -0.903030208958794]",-1.1446089973590081,10.215892663499227,28,2,0,7.450580596923828e-09,7.450580596923828e-09
test,search_only,30,1,0.8333333333333334,92.78860224985183,198.58847547589843,-105.7998732260466,-56.45811093679251,"[-154.3573452366243, -66.24460124897742]",-0.8411352924614328,53.275938078736566,30,0,0,1.862645149230957e-09,0.8100282059040248,0.7894001433557141,0.03333333333333333,1.6434437000134494,0.4252101499878336,11.239381504325918,17.27169218422364,-6.032310679897721,-5.6930203816728016,"[-7.3768941514317, -4.498526607415815]",-1.4627593721022853,34.925996917706605,29,0,1,5.774199962615967e-08,7.450580596923828e-09
test,frozen_adp,30,1,0.6,92.78860224985183,273.4103996142653,-180.62179736441348,-89.21201073030798,"[-233.45593894341445, -132.2092877362725]",-1.245306538163164,66.06251906263972,30,0,0,1.862645149230957e-09,0.8100282059040248,0.7640792457817903,-0.8333333333333334,1.6434437000134494,0.476281100010965,11.239381504325918,18.182178708087196,-6.9427972037612795,-7.667223973707883,"[-8.399925814912582, -5.288205603587958]",-1.5552789455897478,38.18462745981709,29,0,1,5.774199962615967e-08,7.450580596923828e-09
