split,scenario_id,scenario_seed,method,success,coverage,graph_cost,penalized_cost,selected_count,online_time_s,safe_action_evaluations,shield_rejections,policy_source,total_delta_v,min_clearance,peak_input
validation,validation_000,10731,adaptive_rollout_adp,True,0.8143303418539684,96.85772711387364,96.85772711387364,10,2.7414583330391906,1081981,647377,adaptive_rollout_adp,11.739293785090442,0.8473828811905011,0.0585962290483111
validation,validation_000,10731,frozen_adp,True,0.8041259924032451,165.9448839378462,165.9448839378462,11,0.14073158300016075,3858,2037,learned_adp,20.151144539078125,1.8070093861576633,0.05941307125935591
validation,validation_000,10731,search_only,False,0.7834960303870194,128.78270579305521,387.0346905995455,12,0.1860469999955967,4358,2322,learned_adp,15.613968064524846,1.0871041962737076,0.055540358114866184
validation,validation_000,10731,incumbent,True,0.834960303870194,107.91430924123924,107.91430924123924,10,0.00010374997509643435,10,0,reference_safeguard,13.082805869967842,1.7781803100982474,0.059191843568645916
validation,validation_000,10731,rollout,True,0.8143303418539684,97.9807280187201,97.9807280187201,10,0.00417037500301376,363,137,rollout_adp,11.873793990573226,1.7781803100982474,0.04253615042051259
validation,validation_000,10731,local_search,True,0.834960303870194,98.17630754674755,98.17630754674755,10,0.0029734999989159405,660,116,reference_improved,11.89780243155258,1.7781803100982474,0.04253615042051259
validation,validation_000,10731,frozen_adp_safeguard,True,0.834960303870194,107.91430924123924,107.91430924123924,10,0.13779879099456593,3868,2037,reference_safeguard,13.082805869967842,1.7781803100982474,0.059191843568645916
validation,validation_001,10732,adaptive_rollout_adp,True,0.80351946689817,98.56113596741191,98.56113596741191,10,2.1938057499937713,866617,475531,adaptive_rollout_adp,11.944960252796633,1.149157587355644,0.04284761151742663
validation,validation_001,10732,frozen_adp,True,0.8690129779321134,167.4894204931486,167.4894204931486,12,0.16794470796594396,4520,2500,learned_adp,20.33503714539357,1.8070093861576633,0.0585962290483111
validation,validation_001,10732,search_only,False,0.7248831209190608,133.51379649431695,421.07223603478656,11,0.15497645898722112,4537,2681,learned_adp,16.19558755467651,1.149157587355644,0.05694549534924951
validation,validation_001,10732,incumbent,True,0.8690129779321134,108.13830612108997,108.13830612108997,11,0.00011612504022195935,11,0,reference_safeguard,13.105768930457451,1.7781803100982474,0.04284761151742663
validation,validation_001,10732,rollout,True,0.80351946689817,103.91574491826772,103.91574491826772,10,0.004010916978586465,401,145,rollout_adp,12.597424000369733,1.190491788802714,0.04284761151742663
validation,validation_001,10732,local_search,True,0.8253506372428179,105.62346994527971,105.62346994527971,10,0.0023837920161895454,503,88,reference_improved,12.805038399736146,1.7781803100982474,0.04284761151742663
validation,validation_001,10732,frozen_adp_safeguard,True,0.8690129779321134,108.13830612108997,108.13830612108997,11,0.165224666998256,4531,2500,reference_safeguard,13.105768930457451,1.7781803100982474,0.04284761151742663
validation,validation_002,10734,adaptive_rollout_adp,True,0.8133146978144941,94.65838544062841,94.65838544062841,10,0.795088000013493,293182,167786,adaptive_rollout_adp,11.469042525581097,1.7781803100982474,0.04253615042051259
validation,validation_002,10734,frozen_adp,False,0.4575715222305668,93.32674442892849,514.5409833136451,7,0.07069162500556558,2434,1487,learned_adp,11.331108040942402,1.8070093861576633,0.048074778454512024
validation,validation_002,10734,search_only,False,0.6610095362974089,138.79184334813115,458.28707519942674,11,0.13148737500887364,4221,2411,learned_adp,16.837246933961016,1.1939413087055442,0.05951490068870389
validation,validation_002,10734,incumbent,True,0.8302860889222673,104.8014049504294,104.8014049504294,10,9.958300506696105e-05,10,0,reference_safeguard,12.705340962676935,1.2242946330766595,0.05941307125935591
validation,validation_002,10734,rollout,True,0.8133146978144941,104.2535869490367,104.2535869490367,10,0.0035026660189032555,378,142,rollout_adp,12.639679236090467,0.3126404740316717,0.05941307125935591
validation,validation_002,10734,local_search,True,0.8302860889222673,104.8014049504294,104.8014049504294,10,0.0008390409639105201,208,42,reference_safeguard,12.705340962676935,1.2242946330766595,0.05941307125935591
validation,validation_002,10734,frozen_adp_safeguard,True,0.8302860889222673,104.8014049504294,104.8014049504294,10,0.07126054196851328,2444,1487,reference_safeguard,12.705340962676935,1.2242946330766595,0.05941307125935591
