split,scenario_id,scenario_seed,method,success,coverage,graph_cost,penalized_cost,selected_count,online_time_s,safe_action_evaluations,shield_rejections,policy_source,total_delta_v,min_clearance,peak_input
test,test_000,20732,adaptive_rollout_adp,True,0.8090730271942123,99.09414769147463,99.09414769147463,10,0.5518413539975882,143967,78553,adaptive_rollout_adp,12.009798240201636,2.80753987333066,0.04253615042051259
test,test_000,20732,frozen_adp,True,0.8189458512909791,205.46454796537313,205.46454796537313,13,0.2034624110092409,4130,2317,learned_adp,24.950666566070105,0.21960672263981085,0.05941307125935591
test,test_000,20732,search_only,False,0.6803199187610218,123.02707678215522,432.86711740164435,10,0.17013880898593925,3634,2193,learned_adp,14.925376707212266,0.9109685076687651,0.0560717702144159
test,test_000,20732,incumbent,True,0.8090730271942123,109.67092507494226,109.67092507494226,10,0.00014956298400647938,10,0,reference_safeguard,13.299336411913494,1.7781803100982474,0.05951490068870389
test,test_000,20732,rollout,True,0.8090730271942123,107.11371399745765,107.11371399745765,10,0.004994414019165561,349,144,rollout_adp,12.986637561457158,1.7781803100982474,0.05941307125935591
test,test_000,20732,local_search,True,0.8090730271942123,107.11371399745765,107.11371399745765,10,0.002369333989918232,398,86,reference_improved,12.986637561457158,1.7781803100982474,0.05941307125935591
test,test_000,20732,frozen_adp_safeguard,True,0.8090730271942123,109.67092507494226,109.67092507494226,10,0.2030165659962222,4140,2317,reference_safeguard,13.299336411913494,1.7781803100982474,0.05951490068870389
test,test_001,20733,adaptive_rollout_adp,True,0.8179483758255911,97.84792793652575,97.84792793652575,10,0.7441664549987763,194112,105449,adaptive_rollout_adp,11.86035568460954,1.149157587355644,0.0585962290483111
test,test_001,20733,frozen_adp,False,0.5888183005468166,109.34145274195147,464.9323024685432,8,0.19093763999990188,3723,1979,learned_adp,13.272481532068776,2.924298375321733,0.055540358114866184
test,test_001,20733,search_only,True,0.8179483758255911,134.42824417867908,134.42824417867908,10,0.20235136098926887,3489,1616,learned_adp,16.31285921648112,0.8638926780564298,0.059166450822183185
test,test_001,20733,incumbent,True,0.8381763340671922,122.41616627339499,122.41616627339499,11,0.00016281899297609925,11,0,reference_safeguard,14.84539943232073,0.3126404740316717,0.05941307125935591
test,test_001,20733,rollout,True,0.8179483758255911,107.99939143880611,107.99939143880611,10,0.006230869010323659,450,132,rollout_adp,13.094507191059597,2.80753987333066,0.059191843568645916
test,test_001,20733,local_search,True,0.8179483758255911,103.12426133117856,103.12426133117856,10,0.006426751002436504,810,126,reference_improved,12.501616788681364,0.3126404740316717,0.05278198759371104
test,test_001,20733,frozen_adp_safeguard,True,0.8381763340671922,122.41616627339499,122.41616627339499,11,0.1944287020014599,3734,1979,reference_safeguard,14.84539943232073,0.3126404740316717,0.05941307125935591
test,test_002,20734,adaptive_rollout_adp,True,0.8008556472783244,93.63580923428877,93.63580923428877,9,0.7066036070173141,180434,87644,adaptive_rollout_adp,11.352427500044183,0.8473828811905011,0.0585962290483111
test,test_002,20734,frozen_adp,False,0.644667404877093,117.86272523326045,445.529022794714,7,0.2309109510097187,3565,1607,learned_adp,14.31521903044703,5.733682925600201,0.059205790001008125
test,test_002,20734,search_only,True,0.8008556472783244,117.29286331760039,117.29286331760039,10,0.2179134750040248,3384,1517,learned_adp,14.226145280588355,1.0871041962737076,0.055540358114866184
test,test_002,20734,incumbent,True,0.8008556472783244,124.32511673397569,124.32511673397569,11,0.0001623980060685426,11,0,reference_safeguard,15.076955726169487,1.0871041962737076,0.055540358114866184
test,test_002,20734,rollout,True,0.8008556472783244,98.60067681458962,98.60067681458962,10,0.006334404984954745,461,69,rollout_adp,11.949985306648976,1.149157587355644,0.048074778454512024
test,test_002,20734,local_search,True,0.8008556472783244,101.81067139016983,101.81067139016983,10,0.011990233993856236,1238,72,reference_improved,12.34106708176732,1.149157587355644,0.048074778454512024
test,test_002,20734,frozen_adp_safeguard,True,0.8008556472783244,124.32511673397569,124.32511673397569,11,0.2138603659986984,3576,1607,reference_safeguard,15.076955726169487,1.0871041962737076,0.055540358114866184
test,test_003,20736,adaptive_rollout_adp,True,0.8184005701942363,95.19445444644404,95.19445444644404,10,0.7228414460259955,182412,92660,adaptive_rollout_adp,11.534544663356588,1.7781803100982474,0.04284761151742663
test,test_003,20736,frozen_adp,True,0.8040355428845726,151.01324508950836,151.01324508950836,10,0.20906184101477265,3362,1711,learned_adp,18.342559276927922,1.380897249801525,0.0585962290483111
test,test_003,20736,search_only,True,0.8040355428845726,131.21753482338977,131.21753482338977,10,0.2636199089756701,4420,2421,learned_adp,15.924653283942385,1.0871041962737076,0.05858419313244918
test,test_003,20736,incumbent,True,0.8184005701942363,104.29439920888696,104.29439920888696,10,0.00015064500621519983,10,0,reference_safeguard,12.641794008773408,1.7781803100982474,0.05941307125935591
test,test_003,20736,rollout,True,0.8184005701942363,95.19445444644406,95.19445444644406,10,0.006122623977717012,360,141,rollout_adp,11.534544663356588,1.7781803100982474,0.04284761151742663
test,test_003,20736,local_search,True,0.8184005701942363,95.19445444644406,95.19445444644406,10,0.004644108994398266,660,116,reference_improved,11.534544663356588,1.7781803100982474,0.04284761151742663
test,test_003,20736,frozen_adp_safeguard,True,0.8184005701942363,104.29439920888696,104.29439920888696,10,0.20479096900089644,3372,1711,reference_safeguard,12.641794008773408,1.7781803100982474,0.05941307125935591
test,test_004,20738,adaptive_rollout_adp,True,0.8090099251576498,99.9157025618562,99.9157025618562,9,0.5623101570236031,146090,84348,adaptive_rollout_adp,12.118275964135696,1.7220589665880237,0.048074778454512024
test,test_004,20738,frozen_adp,True,0.8302310445845775,154.69786132902087,154.69786132902087,11,0.18238843197468668,3358,1726,learned_adp,18.7836737556981,1.8070093861576633,0.0585962290483111
test,test_004,20738,search_only,True,0.8090099251576498,136.3725809261056,136.3725809261056,10,0.20351739000761881,3739,2030,learned_adp,16.554302114201764,1.1939413087055442,0.05858419313244918
test,test_004,20738,incumbent,True,0.8090099251576498,122.28385826182098,122.28385826182098,11,0.00019772499217651784,11,0,reference_safeguard,14.828520519919271,1.1577715374499264,0.05941307125935591
test,test_004,20738,rollout,True,0.8090099251576498,104.97778505272396,104.97778505272396,11,0.007588053995277733,492,121,rollout_adp,12.723897806107662,0.3126404740316717,0.05278198759371104
test,test_004,20738,local_search,True,0.8090099251576498,106.27258275340424,106.27258275340424,10,0.009141779999481514,1042,115,reference_improved,12.885205325679493,1.1939413087055442,0.04503981313417058
test,test_004,20738,frozen_adp_safeguard,True,0.8090099251576498,122.28385826182098,122.28385826182098,11,0.19679096099571325,3369,1726,reference_safeguard,14.828520519919271,1.1577715374499264,0.05941307125935591
test,test_005,20739,adaptive_rollout_adp,True,0.8013015516954027,109.14133726882568,109.14133726882568,10,0.6110867469978984,147087,82027,adaptive_rollout_adp,13.236062161790635,0.8473828811905011,0.0514317555366367
test,test_005,20739,frozen_adp,True,0.8217522174433268,181.5312134328228,181.5312134328228,12,0.2368947179929819,4039,2044,learned_adp,22.040684293403796,2.924298375321733,0.05941307125935591
test,test_005,20739,search_only,True,0.8217522174433268,144.3138508821027,144.3138508821027,11,0.21767923000152223,3485,1681,learned_adp,17.51301686053524,1.0871041962737076,0.059166450822183185
test,test_005,20739,incumbent,True,0.8454567624297576,118.93945013721513,118.93945013721513,11,0.00018499098950996995,11,0,reference_safeguard,14.420530793509135,1.0401326937566044,0.05941307125935591
test,test_005,20739,rollout,True,0.8013015516954027,112.32658772994364,112.32658772994364,10,0.007310435990802944,439,130,rollout_adp,13.622894583798082,0.3126404740316717,0.059191843568645916
test,test_005,20739,local_search,True,0.8013015516954027,99.25240181379323,99.25240181379323,10,0.006564651994267479,773,117,reference_improved,12.028442028224717,1.149157587355644,0.04284761151742663
test,test_005,20739,frozen_adp_safeguard,True,0.8454567624297576,118.93945013721513,118.93945013721513,11,0.23971085698576644,4050,2044,reference_safeguard,14.420530793509135,1.0401326937566044,0.05941307125935591
test,test_006,20740,adaptive_rollout_adp,True,0.8193991793349633,103.02557478532793,103.02557478532793,10,0.8807285249931738,208411,116287,adaptive_rollout_adp,12.49042792908041,1.0871041962737076,0.0585962290483111
test,test_006,20740,frozen_adp,True,0.8193991793349633,172.885413709604,172.885413709604,11,0.21525577700231224,3667,1764,learned_adp,20.99682778428965,1.1577715374499264,0.05941307125935591
test,test_006,20740,search_only,False,0.7968240767518336,119.80447352594464,371.39243515002784,11,0.23751299400464632,4085,2067,learned_adp,14.526954397670828,1.149157587355644,0.055540358114866184
test,test_006,20740,incumbent,True,0.8193991793349633,107.19368335694807,107.19368335694807,12,0.00017436101916246116,12,0,reference_safeguard,12.986373290504822,1.149157587355644,0.0585962290483111
test,test_006,20740,rollout,True,0.8193991793349633,105.54041096113818,105.54041096113818,11,0.009353832982014865,571,152,rollout_adp,12.791158459801714,1.0871041962737076,0.0585962290483111
test,test_006,20740,local_search,True,0.8193991793349633,105.54041096113818,105.54041096113818,11,0.014139219012577087,1443,118,reference_improved,12.791158459801714,1.0871041962737076,0.0585962290483111
test,test_006,20740,frozen_adp_safeguard,True,0.8193991793349633,107.19368335694807,107.19368335694807,12,0.22601717899669893,3679,1764,reference_safeguard,12.986373290504822,1.149157587355644,0.0585962290483111
test,test_007,20744,adaptive_rollout_adp,True,0.8207008657634103,111.30030822682566,111.30030822682566,11,0.35437440397799946,81548,45803,adaptive_rollout_adp,13.491376590476177,1.7781803100982474,0.059201291408881127
test,test_007,20744,frozen_adp,False,0.4752784812706336,93.17785249950849,505.5386118641917,6,0.11116905399831012,2190,1318,learned_adp,11.318376940543367,1.7220589665880237,0.055540358114866184
test,test_007,20744,search_only,False,0.7086389068655417,113.04468524375693,408.72523181098614,8,0.17677375199855305,3142,1675,learned_adp,13.720364805393045,3.9273870594798796,0.055184359871914224
test,test_007,20744,incumbent,True,0.8207008657634103,111.30030822682568,111.30030822682568,11,0.0002610549854580313,11,0,reference_safeguard,13.491376590476177,1.7781803100982474,0.059201291408881127
test,test_007,20744,rollout,True,0.8207008657634103,111.30030822682568,111.30030822682568,11,0.005263524013571441,387,152,rollout_adp,13.491376590476177,1.7781803100982474,0.059201291408881127
test,test_007,20744,local_search,True,0.8207008657634103,111.30030822682568,111.30030822682568,11,0.0024943210009951144,279,50,reference_safeguard,13.491376590476177,1.7781803100982474,0.059201291408881127
test,test_007,20744,frozen_adp_safeguard,True,0.8207008657634103,111.30030822682568,111.30030822682568,11,0.10934146700310521,2201,1318,reference_safeguard,13.491376590476177,1.7781803100982474,0.059201291408881127
test,test_008,20745,adaptive_rollout_adp,True,0.8032470169383008,80.65579730064728,80.65579730064728,10,0.662048418977065,169137,95992,adaptive_rollout_adp,9.766913787491086,1.149157587355644,0.048074778454512024
test,test_008,20745,frozen_adp,True,0.8622729118568105,174.91632818901257,174.91632818901257,12,0.25846688300953247,4375,2335,learned_adp,21.24033849402448,1.8070093861576633,0.059201291408881127
test,test_008,20745,search_only,True,0.8032470169383008,127.84720115973526,127.84720115973526,10,0.23855253899819218,4218,2376,learned_adp,15.507904645577673,1.0871041962737076,0.05951490068870389
test,test_008,20745,incumbent,True,0.8032470169383008,110.7659321219606,110.7659321219606,10,0.00014564598677679896,10,0,reference_safeguard,13.433438407451886,0.3126404740316717,0.05951490068870389
test,test_008,20745,rollout,True,0.8032470169383008,110.59043013363751,110.59043013363751,10,0.005884631013032049,363,149,rollout_adp,13.411506200268754,0.3126404740316717,0.05941307125935591
test,test_008,20745,local_search,True,0.8032470169383008,110.59043013363751,110.59043013363751,10,0.0032145579752977937,390,86,reference_improved,13.411506200268754,0.3126404740316717,0.05941307125935591
test,test_008,20745,frozen_adp_safeguard,True,0.8032470169383008,110.7659321219606,110.7659321219606,10,0.260426598979393,4385,2335,reference_safeguard,13.433438407451886,0.3126404740316717,0.05951490068870389
test,test_009,20746,adaptive_rollout_adp,True,0.803102769471994,93.69656017270631,93.69656017270631,10,0.43368934298632666,106082,56386,adaptive_rollout_adp,11.35077812709411,2.80753987333066,0.04253615042051259
test,test_009,20746,frozen_adp,True,0.8227924925247946,177.85832277964582,177.85832277964582,12,0.15158438798971474,2814,1590,learned_adp,21.59429676933802,1.8070093861576633,0.05941307125935591
