split,method,n,success_rate,mean_coverage,mean_successful_cost,median_successful_cost,mean_successful_delta_v,worst_min_clearance,peak_input,mean_penalized_cost,median_online_time_s,p95_online_time_s,mean_safe_action_evaluations,training_time_s
test,adaptive_rollout_adp,30,1,0.8087948798089492,99.39734192993808,97.54525144081052,12.048641953138567,0.3126404740316717,0.05941307125935591,99.39734192993808,0.7093285359878791,0.8982788170105778,175247.23333333334,0.0
test,frozen_adp,30,0.8333333333333334,0.7955437828610437,168.54333787739472,168.4769802077055,20.46432381751973,0.21960672263981085,0.05959678605018801,215.74908458744852,0.20136043700040318,0.25846688300953247,3682.866666666667,0.22246340801939368
test,search_only,30,0.5333333333333333,0.77344696184626,137.65973569763975,133.76886583589607,16.70415611585338,0.8473828811905011,0.05951490068870389,264.92488329950714,0.2126768784946762,0.2636199089756701,3881.5666666666666,0.0
test,incumbent,30,1,0.8205340712967524,113.31836768691586,111.24317103817823,13.738587817776153,0.3126404740316717,0.05951490068870389,113.31836768691586,0.00015841050480958074,0.00019772499217651784,10.7,0.0
test,rollout,30,1,0.8125684757944132,106.53360339632155,107.11371399745765,12.915018864903757,0.3126404740316717,0.05941307125935591,106.53360339632155,0.005910379011766054,0.00832677399739623,418.5,0.0
test,local_search,30,1,0.8124023397174324,103.49060988314712,103.9939456328982,12.54513063177526,0.3126404740316717,0.05941307125935591,103.49060988314712,0.004916448990115896,0.012640712986467406,707.3333333333334,0.0
test,frozen_adp_safeguard,30,1,0.8205340712967524,113.31836768691586,111.24317103817823,13.738587817776153,0.3126404740316717,0.05951490068870389,113.31836768691586,0.1983724434976466,0.260426598979393,3693.5666666666666,0.22246340801939368
ood,adaptive_rollout_adp,20,1,0.8072799471371541,91.86727012002643,91.77883977610784,11.141235603877503,0.21960672263981085,0.058830201939178664,91.86727012002643,0.34592200300539844,0.7767364970059134,100720.8,0.0
ood,frozen_adp,20,0.45,0.7107503363753077,156.14442897280205,148.3953784588295,18.958125966453565,0.21960672263981085,0.05941307125935591,318.14291927616154,0.142562552500749,0.19927430001553148,2806.45,0.22246340801939368
ood,search_only,20,0.45,0.744712266653495,135.24198870955294,136.82689379020178,16.40990282582406,0.3126404740316717,0.059597914160367645,296.06959397903285,0.15856000549683813,0.2733183939999435,3427.4,0.0
ood,incumbent,20,1,0.8287873885557256,111.59954543384846,111.28601017092672,13.536585037486581,0.3126404740316717,0.059597914160367645,111.59954543384846,0.00014528051542583853,0.00017569298506714404,9.45,0.0
ood,rollout,20,1,0.8190245167082071,102.64250295433536,102.51367460243264,12.449626918208452,0.21960672263981085,0.059597914160367645,102.64250295433536,0.004707120519015007,0.006812248000642285,350.75,0.0
ood,local_search,20,1,0.8198485015084271,98.47484828359032,98.81110975936036,11.941731930737866,0.21960672263981085,0.059597914160367645,98.47484828359032,0.003654353989986703,0.013809646014124155,591.95,0.0
ood,frozen_adp_safeguard,20,1,0.8287873885557256,111.59954543384846,111.28601017092672,13.536585037486581,0.3126404740316717,0.059597914160367645,111.59954543384846,0.14295294298790395,0.20041814001160674,2815.9,0.22246340801939368
