split,baseline,n,proposed_success_rate,baseline_success_rate,proposed_mean_penalized_cost,baseline_mean_penalized_cost,mean_paired_difference,median_paired_difference,bootstrap_95_ci,cohen_dz,cost_reduction_percent,wins,ties,losses,exact_sign_test_p,proposed_mean_coverage,baseline_mean_coverage,mean_selected_count_difference,proposed_median_online_time_s,baseline_median_online_time_s,proposed_mean_delta_v,baseline_mean_delta_v,mean_paired_delta_v_difference,median_paired_delta_v_difference,delta_v_bootstrap_95_ci,delta_v_cohen_dz,delta_v_reduction_percent,delta_v_wins,delta_v_ties,delta_v_losses,delta_v_exact_sign_test_p,holm_adjusted_sign_test_p
ood,local_search,20,1,1,91.86727012002643,98.47484828359032,-6.607578163563892,-6.916632162175468,"[-11.819253281998066, -1.7057278894331844]",-0.5561960221103719,6.70991454034559,14,1,5,0.063568115234375,0.8072799471371541,0.8198485015084271,-0.8,0.34592200300539844,0.003654353989986703,11.141235603877503,11.941731930737866,-0.8004963268603635,-0.8462989910038514,"[-1.4232993462046983, -0.2070777378874203]",-0.5549067956672006,6.7033520054146924,14,1,5,0.063568115234375,
ood,incumbent,20,1,1,91.86727012002643,111.59954543384846,-19.732275313822043,-14.460261945817308,"[-25.71890190300386, -14.35573829726041]",-1.4833469592542428,17.68132230029422,20,0,0,1.9073486328125e-06,0.8072799471371541,0.8287873885557256,-1.3,0.34592200300539844,0.00014528051542583853,11.141235603877503,13.536585037486581,-2.395349433609079,-1.7522930519259585,"[-3.1098567295125634, -1.7406103785310854]",-1.4829438011348013,17.695374623479168,20,0,0,1.9073486328125e-06,7.62939453125e-06
ood,rollout,20,1,1,91.86727012002643,102.64250295433536,-10.77523283430893,-10.192358622090971,"[-15.04325367559127, -6.634239138359257]",-1.0951301221472072,10.497827434218665,16,2,2,0.001312255859375,0.8072799471371541,0.8190245167082071,-0.65,0.34592200300539844,0.004707120519015007,11.141235603877503,12.449626918208452,-1.3083913143309494,-1.2341081436564858,"[-1.838201750993673, -0.8163201652794301]",-1.094133308955715,10.509482114820123,16,2,2,0.001312255859375,0.001312255859375
ood,search_only,20,1,0.45,91.86727012002643,296.06959397903285,-204.2023238590064,-303.4477486151932,"[-265.99434611484185, -143.0509597964576]",-1.3961062884707607,68.97105545849051,20,0,0,1.9073486328125e-06,0.8072799471371541,0.744712266653495,-1.3,0.34592200300539844,0.15856000549683813,11.141235603877503,14.972269464006141,-3.831033860128638,-4.740499559419878,"[-5.337447931384723, -2.0624830176144795]",-1.0035600554762447,25.587529461305632,18,0,2,0.0004024505615234375,7.62939453125e-06
ood,frozen_adp,20,1,0.45,91.86727012002643,318.14291927616154,-226.2756491561351,-318.42170158693517,"[-287.7888744747687, -163.5256462011257]",-1.5214997973957254,71.12389918058125,20,0,0,1.9073486328125e-06,0.8072799471371541,0.7107503363753077,-0.7,0.34592200300539844,0.142562552500749,11.141235603877503,15.156360613410847,-4.015125009533344,-5.414422904522755,"[-6.413694095546086, -1.4988074155542168]",-0.6948434817917069,26.49135311534241,16,0,4,0.01181793212890625,7.62939453125e-06
test,local_search,30,1,1,99.39734192993808,103.49060988314712,-4.093267953209031,-5.033643663226975,"[-7.027730483486249, -1.1427489045964399]",-0.4874469893798836,3.955207103166954,21,4,5,0.002493917942047119,0.8087948798089492,0.8124023397174324,-0.3,0.7093285359878791,0.004916448990115896,12.048641953138567,12.54513063177526,-0.496488678636694,-0.614459490705805,"[-0.8626347978068487, -0.13741617512007245]",-0.4855764709559888,3.9576206355248993,21,4,5,0.002493917942047119,
test,incumbent,30,1,1,99.39734192993808,113.31836768691586,-13.921025756977784,-12.054280801433578,"[-17.281045634976085, -10.642224983588743]",-1.497253029354109,12.284880237103128,28,2,0,7.450580596923828e-09,0.8087948798089492,0.8205340712967524,-0.8333333333333334,0.7093285359878791,0.00015841050480958074,12.048641953138567,13.738587817776153,-1.689945864637586,-1.4619198066024905,"[-2.084359627254483, -1.308970631208109]",-1.4960846434922872,12.300724696398493,28,2,0,7.450580596923828e-09,1.4901161193847656e-08
test,rollout,30,1,1,99.39734192993808,106.53360339632155,-7.136261466383467,-4.84595954570878,"[-10.226322330073092, -4.453799020407723]",-0.8646669518746255,6.698601416714943,24,4,2,1.049041748046875e-05,0.8087948798089492,0.8125684757944132,-0.43333333333333335,0.7093285359878791,0.005910379011766054,12.048641953138567,12.915018864903757,-0.8663769117651915,-0.5897709350713587,"[-1.2363344188213035, -0.5312975244535397]",-0.8632221626084471,6.708289943885006,24,4,2,1.049041748046875e-05,1.049041748046875e-05
test,search_only,30,1,0.5333333333333333,99.39734192993808,264.92488329950714,-165.52754136956906,-59.14282077353983,"[-214.95661025627405, -117.61566603734724]",-1.1934956036573066,62.48093395682814,30,0,0,1.862645149230957e-09,0.8087948798089492,0.77344696184626,-0.5,0.7093285359878791,0.2126768784946762,12.048641953138567,15.97593992175353,-3.9272979686149645,-4.3901086205857975,"[-4.622752629194516, -3.199305834576431]",-1.8934865105593388,24.582578476446226,28,0,2,8.67992639541626e-07,7.450580596923828e-09
test,frozen_adp,30,1,0.8333333333333334,99.39734192993808,215.74908458744852,-116.35174265751043,-72.23038372289575,"[-158.55339059569238, -81.04732079910626]",-1.063006320498921,53.92919412844607,30,0,0,1.862645149230957e-09,0.8087948798089492,0.7955437828610437,-1.3,0.7093285359878791,0.20136043700040318,12.048641953138567,19.604647968200826,-7.556006015062261,-8.54802243355236,"[-8.662239621667242, -6.389003721493606]",-2.339502647817672,38.541911220840426,29,0,1,5.774199962615967e-08,7.450580596923828e-09
