method,action,candidate_id,weighted_coverage,cumulative_delta_v,cumulative_graph_cost
adaptive_rollout_adp,0,initial,0.0,0.0,0.0
adaptive_rollout_adp,1,cand_0005,0.04132677296824311,0.5136259428055551,4.262164001319716
adaptive_rollout_adp,2,cand_0010,0.10331693242060778,2.4302501764752833,20.051146814443918
adaptive_rollout_adp,3,cand_0070,0.12398031890472933,3.295264217594307,27.20654222280868
adaptive_rollout_adp,4,cand_0009,0.185970478357094,5.7515381566917085,47.40001802157035
adaptive_rollout_adp,5,cand_0021,0.34051102809202655,7.017434176441338,57.847469370636915
adaptive_rollout_adp,6,cand_0016,0.42316457402851276,8.085160778334297,66.66450714041045
adaptive_rollout_adp,7,cand_0066,0.48515473348087745,9.99178928899161,82.37878565265066
adaptive_rollout_adp,8,cand_0055,0.6702555140460132,10.88277556375088,89.74476534922385
adaptive_rollout_adp,9,cand_0051,0.7115822870142564,11.293650289776496,93.16226275683616
adaptive_rollout_adp,10,cand_0062,0.8041326772968242,12.86487455687736,106.10611443148207
local_search,0,initial,0.0,0.0,0.0
local_search,1,cand_0005,0.04132677296824311,0.5136259428055551,4.262164001319716
local_search,2,cand_0010,0.10331693242060778,2.4302501764752833,20.051146814443918
local_search,3,cand_0013,0.14464370538885088,3.011215565051529,24.866366858829227
local_search,4,cand_0070,0.16530709187297243,4.32428499818199,35.69730314889995
local_search,5,cand_0009,0.2272972513253371,6.780558937279391,55.890778947661616
local_search,6,cand_0021,0.38183780106026965,8.04645495702902,66.33823029672818
local_search,7,cand_0015,0.44382796051263435,8.663177617593302,71.45153110225792
local_search,8,cand_0066,0.505818119964999,10.6575523013833,87.88769347843842
local_search,9,cand_0055,0.6909189005301348,11.548538576142569,95.25367317501161
local_search,10,cand_0063,0.732245673498378,13.022292639181334,107.3924610544476
local_search,11,cand_0062,0.8041326772968242,13.482331447624,111.21987887606437
