profile_id,split,method,scenario_count,success_count,success_rate,required_visibility_available_count,mean_required_coverage,mean_penalized_cost,mean_successful_cost,mean_successful_delta_v,mean_successful_background_coverage,mean_successful_whole_sample_coverage,median_online_time_s,unsafe_selected_edges,successful_base_bound_violations
required06,ood,incumbent,30,0,0.0,11,0.4222222222222222,852.3375506257278,nan,nan,nan,nan,0.00032329195528291166,0,0
required06,ood,rollout,30,0,0.0,11,0.0,1000.0,nan,nan,nan,nan,0.00032366602681577206,0,0
required06,ood,local_search,30,0,0.0,11,0.0,1000.0,nan,nan,nan,nan,0.0003131245030090213,0,0
required06,ood,adaptive_rollout_adp,30,10,0.3333333333333333,11,0.3333333333333333,700.9649981986627,102.89499459598802,12.492833201367391,0.6516793213227882,0.2811111111111111,0.15107058300054632,0,0
required06,ood,coverage_only80,30,1,0.03333333333333333,11,0.42777777777777776,840.3433906256715,117.61936639219462,14.27065954373322,0.8084885963983417,0.34444444444444444,0.15384283402818255,0,0
required06,test,incumbent,50,0,0.0,40,0.39999999999999997,854.0452844933227,nan,nan,nan,nan,0.0003590834967326373,0,0
required06,test,rollout,50,0,0.0,40,0.0,1000.0,nan,nan,nan,nan,0.00036375049967318773,0,0
required06,test,local_search,50,0,0.0,40,0.0,1000.0,nan,nan,nan,nan,0.0003563959908206016,0,0
required06,test,adaptive_rollout_adp,50,40,0.8,40,0.8,279.6196446171709,99.5245557714636,12.081678192105313,0.6165024971274587,0.2791666666666667,0.8180600415216759,0,0
required06,test,coverage_only80,50,0,0.0,40,0.6,799.5367133337579,nan,nan,nan,nan,0.4697368339984678,0,0
required09,ood,incumbent,30,0,0.0,10,0.34814814814814815,889.9490250516205,nan,nan,nan,nan,0.00032558300881646574,0,0
required09,ood,rollout,30,0,0.0,10,0.0,1000.0,nan,nan,nan,nan,0.00032787397503852844,0,0
required09,ood,local_search,30,0,0.0,10,0.0,1000.0,nan,nan,nan,nan,0.00031566646066494286,0,0
required09,ood,adaptive_rollout_adp,30,10,0.3333333333333333,10,0.3333333333333333,707.7600329831824,123.28009894954717,14.96540712402157,0.7070950564521977,0.32555555555555554,0.21155718746013008,0,0
required09,ood,coverage_only80,30,0,0.0,10,0.45555555555555555,843.1360136727164,nan,nan,nan,nan,0.19558345901896246,0,0
required09,test,incumbent,50,0,0.0,37,0.24444444444444444,921.7883154243963,nan,nan,nan,nan,0.00036777049535885453,0,0
required09,test,rollout,50,0,0.0,37,0.0,1000.0,nan,nan,nan,nan,0.00036383300903253257,0,0
required09,test,local_search,50,0,0.0,37,0.0,1000.0,nan,nan,nan,nan,0.000380208482965827,0,0
required09,test,adaptive_rollout_adp,50,37,0.74,37,0.74,345.28541511076867,115.25056096049816,13.986071782930685,0.7283336856293804,0.3318318318318318,0.9888678544957656,0,0
required09,test,coverage_only80,50,0,0.0,37,0.6488888888888888,771.2614369572631,nan,nan,nan,nan,0.5107996669830754,0,0
required12,ood,incumbent,30,1,0.03333333333333333,10,0.37222222222222223,865.9953862176461,116.75630191778404,14.157109189960185,0.720751235893575,0.34444444444444444,0.0003234169853385538,0,0
required12,ood,rollout,30,1,0.03333333333333333,10,0.03333333333333333,970.5585433972594,116.75630191778404,14.157109189960185,0.720751235893575,0.34444444444444444,0.0003168334951624274,0,0
required12,ood,local_search,30,1,0.03333333333333333,10,0.03333333333333333,970.4627464882485,113.88239464745706,13.812970152556577,0.720751235893575,0.34444444444444444,0.000306041503790766,0,0
required12,ood,adaptive_rollout_adp,30,10,0.3333333333333333,10,0.3333333333333333,706.9523744446822,120.85712333404649,14.666427044955144,0.7585726621432338,0.33,0.22400020805071108,0,0
required12,ood,coverage_only80,30,0,0.0,10,0.3861111111111111,865.8621377138485,nan,nan,nan,nan,0.15725529150222428,0,0
required12,test,incumbent,50,0,0.0,38,0.22,938.3531260308548,nan,nan,nan,nan,0.0003776460071094334,0,0
required12,test,rollout,50,0,0.0,38,0.0,1000.0,nan,nan,nan,nan,0.00037966654053889215,0,0
required12,test,local_search,50,0,0.0,38,0.0,1000.0,nan,nan,nan,nan,0.0003609165141824633,0,0
required12,test,adaptive_rollout_adp,50,38,0.76,38,0.76,329.8005378633422,118.15860245176606,14.3355351005008,0.7378049060345312,0.3388888888888889,1.0054621669987682,0,0
required12,test,coverage_only80,50,0,0.0,38,0.7083333333333334,747.2917726325569,nan,nan,nan,nan,0.5021151245164219,0,0
