profile_id,split,baseline,all_scenario_count,joint_success_count,mean_paired_cost_difference,paired_cost_difference_ci95,mean_paired_cost_reduction_pct,mean_paired_delta_v_difference,paired_delta_v_difference_ci95,mean_allscenario_penalized_cost_difference,allscenario_penalized_cost_difference_ci95,joint_success_wins,joint_success_losses,joint_success_ties,sign_test_two_sided_p,scope
required06,ood,incumbent,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-151.37255242706505,"[-313.7723238529923, 1.281104775894552]",0,0,0,1.0,Matched required-target task.
required06,ood,rollout,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-299.03500180133733,"[-449.1768665117536, -149.71612576753472]",0,0,0,1.0,Matched required-target task.
required06,ood,local_search,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-299.03500180133733,"[-449.1768665117536, -149.71612576753472]",0,0,0,1.0,Matched required-target task.
required06,ood,coverage_only80,30,1,-8.62887758630714,"[-8.62887758630714, -8.62887758630714]",7.336272801823021,-1.0350502707583384,"[-1.0350502707583384, -1.0350502707583384]",-139.3783924270088,"[-282.5617626056084, -7.926146555839744]",1,0,0,1.0,Coverage-only80 uses a different native task; diagnostic comparison only.
required06,test,incumbent,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-574.4256398761518,"[-676.5646103588552, -457.1189534006265]",0,0,0,1.0,Matched required-target task.
required06,test,rollout,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-720.3803553828291,"[-810.9449693671156, -612.5384329643452]",0,0,0,1.0,Matched required-target task.
required06,test,local_search,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-720.3803553828291,"[-810.9449693671156, -612.5384329643452]",0,0,0,1.0,Matched required-target task.
required06,test,coverage_only80,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-519.917068716587,"[-616.610797045659, -412.002647431701]",0,0,0,1.0,Coverage-only80 uses a different native task; diagnostic comparison only.
required09,ood,incumbent,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-182.1889920684382,"[-349.33343255277845, -27.632139479085474]",0,0,0,1.0,Matched required-target task.
required09,ood,rollout,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-292.2399670168176,"[-439.745937009397, -146.33672075020897]",0,0,0,1.0,Matched required-target task.
required09,ood,local_search,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-292.2399670168176,"[-439.745937009397, -146.33672075020897]",0,0,0,1.0,Matched required-target task.
required09,ood,coverage_only80,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-135.37598068953403,"[-280.71492976668435, 2.714385266213313]",0,0,0,1.0,Coverage-only80 uses a different native task; diagnostic comparison only.
required09,test,incumbent,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-576.5029003136277,"[-686.0611632195973, -459.0032153030398]",0,0,0,1.0,Matched required-target task.
required09,test,rollout,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-654.7145848892313,"[-760.7527990375322, -547.8049056292296]",0,0,0,1.0,Matched required-target task.
required09,test,local_search,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-654.7145848892313,"[-760.7527990375322, -547.8049056292296]",0,0,0,1.0,Matched required-target task.
required09,test,coverage_only80,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-425.9760218464944,"[-524.9314145231407, -317.5315798798361]",0,0,0,1.0,Coverage-only80 uses a different native task; diagnostic comparison only.
required12,ood,incumbent,30,1,-2.873907270326967,"[-2.873907270326967, -2.873907270326967]",2.461457945414097,-0.3441390374036075,"[-0.3441390374036075, -0.3441390374036075]",-159.04301177296395,"[-321.92230848240354, -2.09552934303815]",1,0,0,1.0,Matched required-target task.
required12,ood,rollout,30,1,-2.873907270326967,"[-2.873907270326967, -2.873907270326967]",2.461457945414097,-0.3441390374036075,"[-0.3441390374036075, -0.3441390374036075]",-263.6061689525773,"[-409.94805853987185, -117.61126048195752]",1,0,0,1.0,Matched required-target task.
required12,ood,local_search,30,1,1.4210854715202004e-14,"[1.4210854715202004e-14, 1.4210854715202004e-14]",-1.2478535210990424e-14,0.0,"[0.0, 0.0]",-263.5103720435664,"[-409.88883322061855, -117.49543647499718]",0,0,1,1.0,Matched required-target task.
required12,ood,coverage_only80,30,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-158.90976326916626,"[-301.82470542622497, -19.162802049022467]",0,0,0,1.0,Coverage-only80 uses a different native task; diagnostic comparison only.
required12,test,incumbent,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-608.5525881675126,"[-714.8693551895309, -487.16603054040957]",0,0,0,1.0,Matched required-target task.
required12,test,rollout,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-670.1994621366578,"[-771.8753487177736, -563.5993494600704]",0,0,0,1.0,Matched required-target task.
required12,test,local_search,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-670.1994621366578,"[-771.8753487177736, -563.5993494600704]",0,0,0,1.0,Matched required-target task.
required12,test,coverage_only80,50,0,nan,"[nan, nan]",nan,nan,"[nan, nan]",-417.4912347692147,"[-518.7220619498546, -305.60147372679893]",0,0,0,1.0,Coverage-only80 uses a different native task; diagnostic comparison only.
